File,Line,Keyword,Code Snippet
C:/Users/lierm/Documents/Games/ALLV8/src\graphics_analyser.py,8,blit,"such as those starting with ""pygame.draw"", ""pygame.display.flip/update"", or any "".blit("", "".flip("", "".update("" calls."
C:/Users/lierm/Documents/Games/ALLV8/src\graphics_analyser.py,8,flip,"such as those starting with ""pygame.draw"", ""pygame.display.flip/update"", or any "".blit("", "".flip("", "".update("" calls."
C:/Users/lierm/Documents/Games/ALLV8/src\graphics_analyser.py,8,update,"such as those starting with ""pygame.draw"", ""pygame.display.flip/update"", or any "".blit("", "".flip("", "".update("" calls."
C:/Users/lierm/Documents/Games/ALLV8/src\loading_animation.py,99,blit,"combined_surface.blit(text_surface, text_rect.topleft)"
C:/Users/lierm/Documents/Games/ALLV8/src\loading_animation.py,166,update,self.grid_animation.update(speed_factor=1)
C:/Users/lierm/Documents/Games/ALLV8/src\loading_animation.py,190,pygame_display_flip,pygame.display.flip()
C:/Users/lierm/Documents/Games/ALLV8/src\loading_animation.py,190,flip,pygame.display.flip()
C:/Users/lierm/Documents/Games/ALLV8/src\loading_animation.py,253,update,"c['animation'].update(speed_factor=7*progress_in_flash)  # speed them up to ""unfold"" quickly"
C:/Users/lierm/Documents/Games/ALLV8/src\loading_animation.py,280,pygame_draw,"pygame.draw.rect(squares_surf, color, (x, y, self.pixel_scale, self.pixel_scale))"
C:/Users/lierm/Documents/Games/ALLV8/src\loading_animation.py,283,blit,"self.blended_surface.blit(squares_surf, (0, 0))"
C:/Users/lierm/Documents/Games/ALLV8/src\loading_animation.py,286,blit,"self.screen.blit(self.blended_surface, (0, 0))"
C:/Users/lierm/Documents/Games/ALLV8/src\loading_animation.py,324,pygame_draw,"pygame.draw.rect(accumulation_surface, pixel['color'], (x, y, self.pixel_scale, self.pixel_scale))"
C:/Users/lierm/Documents/Games/ALLV8/src\loading_animation.py,325,pygame_draw,pygame.draw.rect(
C:/Users/lierm/Documents/Games/ALLV8/src\loading_animation.py,334,blit,"self.screen.blit(accumulation_surface, (0, 0))"
C:/Users/lierm/Documents/Games/ALLV8/src\loading_animation.py,355,pygame_draw,pygame.draw.circle(
C:/Users/lierm/Documents/Games/ALLV8/src\loading_animation.py,364,blit,self.screen.blit(
